0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:39:54 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:51 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267078
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:42:52 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:48 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267078
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:43:49 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 200 267081
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:04 +0800] "GET /B2CforBook/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:05 +0800] "GET /B2CforBook/font/fontawesome/fonts/fontawesome.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:30 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:30 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:34 +0800] "GET /B2CforBook/cart.jsp HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:39 +0800] "GET /B2CforBook/checkout.jsp HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:44:53 +0800] "GET /B2CforBook/css/minified.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:06 +0800] "GET /B2CforBook/header.jsp HTTP/1.1" 200 5462
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/js/minified.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:00:47:07 +0800] "GET /B2CforBook/js/owl.carousel.js HTTP/1.1" 304 -
