127.0.0.1 - - [20/Oct/2015:15:56:16 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/css/megamenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/css/newStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/js/megamenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:18 +0800] "GET /B2CforBook/js/jquery.easydropdown.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:15:56:19 +0800] "GET /favicon.ico HTTP/1.1" 404 973
